"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Hamels, Cole","L","82.5","88","34.3","85.3",,"11.9","62.5"
"Lugo, Seth","R","82.5","91.9",,"92.8",,"28.3","83.1"
"Davis, Austin","L","82.4",,,"84.4",,"25.9",
"Peterson, Tim","R","82.4",,,"59.9",,"51.2",
"Weaver, Luke","R","82.4",,"37.7","76.5",,,"49.6"
"Andriese, Matt","R","82.4",,,"29.2",,"18.9","64.7"
"Erlin, Robbie","L","82.3","86.6",,"70.5",,"36.6","76.1"
"López, Jorge","R","82.3","95.6",,"90.4",,"24.4","68.1"
"Oh, Seunghwan","R","82.1","91.2","25.8","88.4",,"22.5","63.3"
"Chapman, Aroldis","L","82","91.5",,,,"51.1",
"Neris, Héctor","R","82","89.3",,,,"34.4",
"Ohtani, Shohei","R","81.9",,,,,"69.4","90.7"
"Pomeranz, Drew","L","81.9","89.4","45.1","89.9",,,"87.1"
"Maeda, Kenta","R","81.9","89",,"87.4",,"29.7","73.6"
"Lively, Ben","R","81.8","92",,,,"36.6","68.3"
"Moya, Gabriel","L","81.8","88.7",,"71.7",,"30.2",
"Elías, Roenis","L","81.7","89.6",,"88.7",,,"84.2"
"Cueto, Johnny","R","81.6","84.7",,"70.3",,"23.8",
"González, Gio","L","81.6","87.8",,"76.9",,,"90.4"
"Lewicki, Artie","R","81.5",,,"86.1",,"37.7","71.7"
"Ross, Joe","R","81.5","91.8",,"84.7",,"29",
"Workman, Brandon","R","81.5",,"27.2",,,,"86.9"
"Hatcher, Chris","R","81.5","90.7","50.9",,,"22.7",
"Hammel, Jason","R","81.5","90.1",,"87.5",,"25","82.2"
"Webb, Tyler","L","81.3",,,"85.4",,,"29.1"
"Hembree, Heath","R","81.3",,,,,"28.9","56"
"Boyd, Matthew","L","81.1","85.5",,"68.1",,"17.3","69.4"
"Gonsalves, Stephen","L","81.1",,,"82.7",,"34","92.1"
