"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
608379,"Wacha, Michael","Pit",138,1209,1209,837,14.415,372,14.415,0.41025641025641024,0.5715467328370554,0.018196856906534328
641712,"Hudson, Dakota","Pit",138,579,579,365,14.415,214,14.415,0.38341968911917096,0.6079447322970639,0.008635578583765112
641771,"Kuhl, Chad","Pit",134,1276,1276,795,14.447,481,14.447,0.34717868338557994,0.603448275862069,0.0493730407523511
592468,"Kingham, Nick","Pit",134,585,585,392,14.447,193,14.447,0.38461538461538464,0.5914529914529915,0.023931623931623933
605151,"Bradley, Archie","Pit",109,532,532,332,14.448,200,14.448,0.34962406015037595,0.5939849624060151,0.05639097744360902
641745,"Keller, Brad","Pit",118,1054,1054,694,14.448,360,14.448,0.38140417457305503,0.5882352941176471,0.030360531309297913
608379,"Wacha, Michael","Pit",135,994,994,652,14.459,342,14.459,0.38832997987927564,0.6106639839034205,0.001006036217303823
502190,"Leake, Mike","Pit",136,1248,1248,858,14.481,390,14.481,0.4014423076923077,0.563301282051282,0.035256410256410256
605182,"Clevinger, Mike","Pit",114,1543,1543,1044,14.481,499,14.481,0.3862605314322748,0.5865197666882696,0.027219701879455604
598271,"Johnson, Brian","Pit",111,822,822,554,14.481,268,14.481,0.3819951338199513,0.5924574209245742,0.025547445255474453
596001,"Junis, Jakob","Pit",118,735,735,485,14.481,250,14.481,0.3727891156462585,0.5972789115646259,0.029931972789115645
676879,"Ashby, Aaron","Pit",158,903,903,570,14.5,333,14.5,0.3754152823920266,0.5946843853820598,0.029900332225913623
657277,"Webb, Logan","Pit",137,1423,1423,921,14.504,502,14.504,0.3724525650035137,0.600843288826423,0.026704146170063246
622491,"Castillo, Luis","Pit",113,1264,1264,896,14.514,368,14.514,0.4050632911392405,0.5751582278481012,0.01977848101265823
456167,"Griffin, A.J.","Pit",140,624,624,424,14.514,200,14.514,0.39903846153846156,0.5817307692307693,0.019230769230769232
474463,"Anderson, Brett","Pit",133,1232,1232,815,14.514,417,14.514,0.3814935064935065,0.6038961038961039,0.01461038961038961
642607,"Agrazal, Dario","Pit",134,530,530,358,14.515,172,14.515,0.3867924528301887,0.5754716981132075,0.03773584905660377
572362,"Erlin, Robbie","Pit",135,714,714,454,14.515,260,14.515,0.38095238095238093,0.5966386554621849,0.022408963585434174
