"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Kela, Keone","R","84.3",,,,,,"39.2"
"Young, Alex","L","84.3","92.4","32.7","78.2",,,"28.1"
"Duplantier, Jon","R","84.3","94.7",,"91.3",,"33.7","80.2"
"Allard, Kolby","L","84.2",,"30","84.4",,,"55.5"
"Anderson, Justin","R","84.2","88.3",,,,"44.4",
"Petit, Yusmeiro","R","84.2",,"71","88.3",,,"56.3"
"Scott, Tayler","R","84.1","91.3",,,,"21.4",
"Jurado, Ariel","R","84.1","96.1",,"89",,"13.2","40.9"
"Lugo, Seth","R","84.1","93.8",,"92.3",,"29.8","89.5"
"Rodney, Fernando","R","84","89.9",,"84.2",,"30.8",
"Lambert, Peter","R","84",,,"69.6",,"31.8","79.7"
"Grotz, Zac","R","84","89.3",,,,"27.4",
"Bañuelos, Manny","L","84","93.6",,"82.8",,"18.3","56.5"
"Kay, Anthony","L","83.9",,,"90.5",,,"60.7"
"Buehler, Walker","R","83.9","89.4","46.2",,,"52.4","87.9"
"Bundy, Dylan","R","83.9","88.7",,"76.4",,"27.8","78.4"
"Littell, Zack","R","83.8",,,,,"22.1",
"Roark, Tanner","R","83.8","91.8",,"85.2",,"29.1","85.9"
"Wieck, Brad","L","83.8",,,,,"19.5","86.9"
"Feliz, Michael","R","83.7",,,"88.3",,"42.5",
"Ruiz, José","R","83.7",,,"78.6",,"28.5",
"Hand, Brad","L","83.7","86.3",,,,"68.8",
"Flexen, Chris","R","83.7",,"32.5","82.1",,,
"Dowdy, Kyle","R","83.7",,,"94.6",,"25.7","95"
"Cessa, Luis","R","83.7","88.9",,"76.5",,"9.6",
"Menez, Conner","L","83.5",,,"54",,"32.4","41.9"
"García, Edgar","R","83.5","87.5",,,,"32.2",
"Kershaw, Clayton","L","83.4",,,,,"38.3","80.6"
"Reid-Foley, Sean","R","83.4",,,"85.7",,"28.5","72.9"
"Tuivailala, Sam","R","83.4","92.2",,,,"26.5","69.2"
"Detwiler, Ross","L","83.3","88.5","25.2","66.9",,"18.7","49.9"
"Kelly, Joe","R","83.3","92.3",,"89.7",,,"74.2"
"Carrasco, Carlos","R","83.3","88.8",,"60.6",,"17.2","51.7"
"Erlin, Robbie","L","83.2","86.1",,"68",,"39.1","86.1"
"Buchholz, Clay","R","83.2","85.5","34.7","61.8",,,"78.9"
"Price, David","L","83.2","92.7","42.1","85.6",,,"26.8"
"Montero, Rafael","R","83.2","84.6",,"86.6",,"38.4",
"Gallen, Zac","R","83.2","86.3","38.3","73.7",,,"69.5"
"Workman, Brandon","R","83.1",,"27.6",,,,"84.5"
"Chargois, JT","R","83.1","91.7",,,,"10.9",
"Berríos, José","R","83","91.9",,"79.3",,"80.1",
"Hembree, Heath","R","82.9",,,,,"28.7","56"
"Beeks, Jalen","L","82.9",,"31","87.6",,,"81.6"
"Sparkman, Glenn","R","82.9",,,"85.9",,"25.2","72"
"Mayza, Tim","L","82.8","93.5",,,,"15.7",
"Miller, Justin","R","82.8","91.8",,,,"35.1",
"Suárez, Andrew","L","82.8","83.7",,"85.9",,"37.7","67.5"
"Hamels, Cole","L","82.7","82.6","39.4","80.9",,,"65"
"Rodríguez, José","R","82.7","81.6",,"56.5",,"14.2","41.8"
"Allen, Logan","L","82.6",,,"69.7",,"25.6","67"
"Scherzer, Max","R","82.6",,"32.2","87.7",,"18.5","56.1"
"Liriano, Francisco","L","82.5","85.9",,"85.3",,"29.9",
"Shepherd, Chandler","R","82.4",,,"84.5",,"31.3","64.8"
"Alexander, Tyler","L","82.4","88.3",,"79.9",,"29.2","29.1"
"Severino, Luis","R","82.4",,,"83.1",,"49.9",
"James, Josh","R","82.3",,,"86.1",,"61.7",
"Trivino, Lou","R","82.3","90.8","32.9","88",,,"69.2"
"Woodruff, Brandon","R","82.2","93.1",,"93.5",,"19.9","20.2"
"Gearrin, Cory","R","82.2","94",,"83.4",,"23",
"Estévez, Carlos","R","82.2","81.9",,"76.9",,"32",
"Andriese, Matt","R","82.2",,,"25.4",,,"64.5"
"Bard, Luke","R","82.1","85.2",,"90.5",,"24.8",
"Straily, Dan","R","82",,,"64.9",,"28.5","51"
"Wilson, Bryse","R","82",,,"87.6",,"19.3","57.8"
"Sadzeck, Connor","R","82","93.2",,,,"29.6",
"Shafer, Justin","R","81.9","88.6","36.7",,,"36.8",
"Biagini, Joe","R","81.9","88.5","25.1","81.4",,,"87.4"
"Helsley, Ryan","R","81.9",,"31",,,"33.6","42.6"
"Shawaryn, Mike","R","81.9",,,,,"12","35.3"
"Goody, Nick","R","81.8",,,,,"47",
"Rosenthal, Trevor","R","81.8",,,,,"25.2",
"Adams, Austin","R","81.8",,,"82.1",,"28",
"Sewald, Paul","R","81.8",,,,,"57.4",
"Germán, Domingo","R","81.8","89.4",,"88.3",,,"28.5"
"Fulmer, Carson","R","81.7",,"27.6","90.6",,,"51.1"
"Rondón, Héctor","R","81.7","96.4",,"91.9",,"31",
"DuRapau, Montana","R","81.6",,"32",,,,"59.6"
"Stewart, Brock","R","81.5","83.7",,"77",,"32",
"Boyd, Matthew","L","81.5","82.3",,"73.4",,"27.5","76.5"
"Treinen, Blake","R","81.5","94.6","34.2",,,"24.3",
"Minter, A.J.","L","81.5",,"36.2","79.6",,,
"Ryu, Hyun Jin","L","81.4","89.6","32.5","77",,,"87"
"Palumbo, Joe","L","81.4",,,"63.9",,,"74.2"
"Smith, Will","L","81.3",,,,,"44.1","64.5"
"Velázquez, Hector","R","81.3","88.1",,"62.6",,"41","51.2"
"Wisler, Matt","R","81.3","86.1",,,,"30.7",
"Morgan, Adam","L","81.3","87.3",,"78.6",,"50.6","57.6"
"Newcomb, Sean","L","81.3",,,"79.8",,"71.2","91.8"
"Reininger, Zac","R","81.1","84.1",,"80.3",,"33.6","56.4"
"Rodón, Carlos","L","81.1",,,"86.9",,"33.6",
"Beede, Tyler","R","81",,,"81.6",,"12.4","81.6"
"Corbin, Patrick","L","81","87.5",,"75.8",,"20.7","21.2"
"Neris, Héctor","R","81","87.6",,,,,
"Cimber, Adam","R","80.9","82.6",,,,"25.4",
"Stripling, Ross","R","80.9","83","51.9","55.8",,"34.5","70.7"
"Bailey, Homer","R","80.9","88.2",,,,"27.7","71.6"
"Hess, David","R","80.7","92.4",,"82.6",,"26.9","44"
"Burr, Ryan","R","80.4",,"30.6",,,"41",
"Bumgarner, Madison","L","80.4",,"32","81.5",,,"56.5"
"Brasier, Ryan","R","80.3","90.2",,"85.7",,"33.4",
"Waguespack, Jacob","R","80.2","91.6","44.4","77.5",,"27.7","36.1"
"Muñoz, Andrés","R","80.1",,,,,"36.7",
"deGrom, Jacob","R","80.1","84.3",,"79.8",,"31.3","35.3"
"Carpenter, Ryan","L","80.1","86.6",,"83.7",,"26.6","87.5"
"Peralta, Freddy","R","80",,,"80.8",,,"66.4"
"Almonte, Yency","R","80",,,,,"30.4",
"Kinley, Tyler","R","79.9",,,,,"21.3",
"Miley, Wade","L","79.9","89.8","35","86.6",,"31.9","68.6"
