Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Julio Rodríguez,SEA,55,233,4,23,19,13,0.051502145,0.274678111,0.077625571,0.357615894,0.264840182,0.309012875,0.342465753,0.288934298,,92.33823177,0.235706334,-1.836755768,1.577105495,0.764442717,Julio Rodriguez,23697,677594
Jackson Merrill,SDP,53,191,3,21,21,7,0.057591623,0.157068062,0.084269663,0.315068493,0.275280898,0.315789473,0.359550561,0.294941777,,91.96121762,1.268375632,-0.570641191,1.145444041,0.722282449,Jackson Merrill,29490,701538
Elias Díaz,COL,44,172,4,18,23,0,0.052325581,0.168604651,0.132911392,0.346456692,0.303797468,0.348837209,0.43670886,0.336852339,,103.5706706,-1.522573129,-0.786975537,1.958683927,0.717581182,Elias Diaz,11680,553869
Oneil Cruz,PIT,51,205,7,21,19,4,0.073170731,0.351219512,0.17368421,0.36036036,0.247368421,0.302439024,0.421052631,0.310109806,,95.91045166,0.725586527,-0.278546542,0.299474941,0.714038156,Oneil Cruz,21711,665833
Blake Perkins,MIL,44,170,4,24,15,5,0.1,0.264705882,0.10738255,0.297029702,0.228187919,0.317647058,0.335570469,0.293943494,,86.91576187,0.53102675,-2.133127856,3.236222118,0.703591942,Blake Perkins,19921,663368
Yordan Alvarez,HOU,53,232,9,27,22,1,0.099137931,0.176724137,0.181372549,0.288461538,0.264705882,0.344827586,0.446078431,0.339251052,,123.2296424,-1.38002305,4.876487409,-5.735146994,0.699552722,Yordan Alvarez,19556,670541
Kyle Schwarber,PHI,53,245,10,42,33,3,0.163265306,0.289795918,0.170854271,0.300813008,0.236180904,0.359183673,0.407035175,0.336547214,,115.6219005,-0.340034173,4.24414954,-5.743155772,0.696905879,Kyle Schwarber,16478,656941
Josh Naylor,CLE,51,216,13,27,35,3,0.097222222,0.157407407,0.25,0.208333333,0.228723404,0.314814814,0.478723404,0.329360945,,115.3619269,-1.160670553,2.691461017,-3.230778099,0.678012283,Josh Naylor,18839,647304
Michael Harris II,ATL,51,214,5,23,17,8,0.046728971,0.224299065,0.118226601,0.32,0.261083743,0.29906542,0.379310344,0.296363484,,87.39419815,0.123821424,-3.107248174,2.184830903,0.648447309,Michael Harris II,25931,671739
Luis Arraez,- - -,54,243,1,31,13,3,0.045267489,0.057613168,0.074561403,0.352112676,0.333333333,0.371900826,0.407894736,0.343117886,,120.9435506,-0.22460146,5.871029229,-7.885110034,0.637082692,Luis Arraez,18568,650333
Michael Busch,CHC,50,182,7,27,21,1,0.104395604,0.351648351,0.196202531,0.333333333,0.234177215,0.318681318,0.430379746,0.323848553,,109.4591232,-0.016002627,2.045976816,-2.031904308,0.633463781,Michael Busch,26319,683737
Edouard Julien,MIN,52,182,7,23,16,5,0.126373626,0.335164835,0.170886076,0.288888888,0.208860759,0.313186813,0.379746835,0.307733816,,100.4192329,-0.018546906,0.070031618,-0.074267839,0.617504785,Edouard Julien,27534,666397
Bo Bichette,TOR,50,209,4,18,23,4,0.052631578,0.143540669,0.118556701,0.273291925,0.24742268,0.296650717,0.365979381,0.290564533,,88.80331741,-0.224529165,-2.941201872,1.987734583,0.611728418,Bo Bichette,19612,666182
Nolan Arenado,STL,51,217,3,20,23,0,0.064516129,0.165898617,0.095959596,0.296296296,0.257575757,0.30875576,0.353535353,0.291365659,,86.93594985,-0.868287415,-4.263755368,2.872969125,0.610782114,Nolan Arenado,9777,571448
Zach Neto,LAA,51,190,6,20,18,6,0.063157894,0.257894736,0.169491525,0.319672131,0.254237288,0.305263157,0.423728813,0.316109169,,103.0168891,-1.334402011,-0.668953268,0.096736413,0.586357672,Zach Neto,31347,687263
Ozzie Albies,ATL,43,193,3,24,25,3,0.067357512,0.155440414,0.12,0.307692307,0.268571428,0.331606217,0.388571428,0.317069811,,101.381809,-0.387017065,-0.067593174,-0.807275353,0.580403418,Ozzie Albies,16556,645277
Tyler Freeman,CLE,48,189,4,31,21,7,0.079365079,0.158730158,0.141975309,0.253846153,0.228395061,0.324468085,0.37037037,0.30729346,,99.98201959,0.142111588,0.138166443,-0.868353625,0.566745053,Tyler Freeman,22532,671289
Bryan Reynolds,PIT,54,242,7,20,28,4,0.103305785,0.194214876,0.161290322,0.306748466,0.262672811,0.338842975,0.423963133,0.332179061,,110.8187518,0.748797045,3.884642041,-6.578140091,0.563860601,Bryan Reynolds,19326,668804
Cody Bellinger,CHC,40,176,7,15,23,0,0.09090909,0.164772727,0.189873418,0.268292682,0.253164556,0.323863636,0.443037974,0.323634962,,109.3148374,-0.320097475,1.64348889,-2.323501091,0.541372757,Cody Bellinger,15998,641355
Adolis García,TEX,51,213,12,26,37,4,0.056338028,0.28169014,0.237113402,0.277777777,0.242268041,0.291079812,0.479381443,0.324495717,,110.9423849,0.047487252,2.75327207,-4.677151392,0.525686319,Adolis Garcia,19287,666969
Sal Frelick,MIL,48,186,2,25,11,6,0.096774193,0.204301075,0.08433735,0.309523809,0.246987951,0.327956989,0.331325301,0.29695747,,88.95177347,0.57247414,-1.888843011,0.699897099,0.523851583,Sal Frelick,29622,686217
Ian Happ,CHC,49,206,4,25,17,2,0.131067961,0.281553398,0.13559322,0.304347826,0.220338983,0.330097087,0.355932203,0.308163302,,98.86336742,-0.266587579,-0.547033667,-1.518935755,0.503268372,Ian Happ,17919,664023
Orlando Arcia,ATL,51,200,5,20,19,0,0.03,0.19,0.153439154,0.28,0.248677248,0.27,0.402116402,0.2863342,,80.61918121,-0.505352606,-5.147983743,3.229153659,0.497538007,Orlando Arcia,13185,606115
Pete Alonso,NYM,52,228,12,29,26,1,0.087719298,0.192982456,0.230392157,0.234899328,0.230392156,0.307017543,0.460784313,0.327395711,,113.9418862,-1.616795122,2.190516669,-5.529681265,0.448959161,Pete Alonso,19251,624413
Gavin Sheets,CHW,49,185,4,14,18,1,0.129729729,0.167567567,0.171974522,0.276422764,0.242038216,0.351351351,0.414012738,0.337104656,,118.918095,-0.849938761,3.213098423,-5.259168269,0.41807451,Gavin Sheets,19901,657757
Matt Olson,ATL,51,218,8,23,29,0,0.100917431,0.270642201,0.193717277,0.288,0.230366492,0.321100917,0.424083769,0.321815222,,104.587446,-1.328848515,-0.131034141,-3.237635072,0.411203872,Matt Olson,14344,621566
Jeff McNeil,NYM,51,202,3,20,14,3,0.084158415,0.118811881,0.104972376,0.259740259,0.23756906,0.313432835,0.342541436,0.293363568,,90.95237301,-0.522945745,-2.711957632,-0.130530604,0.409659868,Jeff McNeil,15362,643446
Nolan Gorman,STL,46,176,8,20,21,2,0.119318181,0.352272727,0.2,0.294117647,0.212903225,0.306818181,0.412903225,0.312850503,,101.4494668,-0.694133726,-0.388583224,-1.626863887,0.404276058,Nolan Gorman,22263,669357
Brendan Donovan,STL,50,225,4,25,25,0,0.08,0.142222222,0.131979696,0.25,0.228426395,0.311111111,0.360406091,0.29736188,,90.98653794,-0.872348655,-3.301397322,-0.494924744,0.391609152,Brendan Donovan,24679,680977
Austin Riley,ATL,38,167,3,22,18,0,0.083832335,0.239520958,0.139072847,0.305555555,0.238410596,0.311377245,0.377483443,0.303445695,,92.17839834,-0.427726294,-1.992221472,-0.145952987,0.36042309,Austin Riley,18360,663586
Jesse Winker,WSN,50,198,6,25,23,7,0.121212121,0.232323232,0.162650602,0.284482758,0.234939759,0.348484848,0.397590361,0.329187685,,111.6114081,-0.901823523,1.851848057,-5.088666917,0.355287076,Jesse Winker,13590,608385
Anthony Santander,BAL,48,201,9,25,29,0,0.07960199,0.199004975,0.223463687,0.20610687,0.201117318,0.283582089,0.424581005,0.306389374,,100.710766,-0.84084743,-0.674994031,-2.708428111,0.335105338,Anthony Santander,14551,623993
Giancarlo Stanton,NYY,48,191,13,23,29,0,0.062827225,0.324607329,0.262569832,0.278846153,0.234636871,0.282722513,0.497206703,0.331588618,,115.9010867,-1.876724159,1.649109653,-4.84514918,0.320389441,Giancarlo Stanton,4949,519317
Jonathan India,CIN,47,195,3,18,17,5,0.133333333,0.194871794,0.090361446,0.269841269,0.222891566,0.333333333,0.313253012,0.295614616,,82.80097823,-0.091850244,-4.108837193,0.291854284,0.285309125,Jonathan India,21523,663697
Jonah Heim,TEX,48,187,5,19,28,1,0.058823529,0.176470588,0.109195403,0.277372262,0.247126436,0.294117647,0.356321839,0.286002075,,84.11428716,-1.145818989,-4.594475821,0.861671122,0.251703655,Jonah Heim,16930,641680
Brayan Rocchio,CLE,47,172,0,24,8,7,0.122093023,0.174418604,0.061643836,0.245762711,0.198630136,0.304093567,0.260273972,0.262083246,,68.47281559,-0.665614457,-6.96089807,3.524812269,0.231235934,Brayan Rocchio,23690,677587
Bryan De La Cruz,MIA,55,238,9,27,25,1,0.075630252,0.25210084,0.165898617,0.313333333,0.258064516,0.31512605,0.423963133,0.318861183,,102.3855506,-1.116043421,-0.436014085,-5.404493738,0.226895807,Bryan De La Cruz,19600,650559
Xander Bogaerts,SDP,47,200,4,23,14,4,0.06,0.2,0.096256685,0.256944444,0.219251336,0.265,0.315508021,0.256353032,,65.89361315,1.520001573,-6.650105959,1.926399,0.20958735,Xander Bogaerts,12161,593428
Carlos Santana,MIN,49,188,7,16,22,0,0.085106382,0.175531914,0.159763314,0.209302325,0.201183431,0.281914893,0.360946745,0.280231271,,81.25136787,-0.536147534,-4.628086089,0.436100662,0.207959107,Carlos Santana,2396,467793
